Index,Name,Tweets,Location,Subcategory,
40,cyr_actual,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…",VA,Arts,
42,ReArtistron,"RT @BKieltArtist: Opening tomorrow, OGHAM in @Catalyst_Arts. Group show after a 3 week residency. Read about it and the artists here: https…",Artistron,Arts,
44,MrUtopia6,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
54,TypoDynamofo,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…",Horde Certified,Arts,
64,MickeyMeenan,"RT @Luke_172: Visual Arts Interview: Lisa Kessler's ""Heart in the Wound"" -- Reassessing Sexual Abuse, Power, and the Catholic Church https:…",New York City,Arts,
69,50initiative,"RT @Think360Arts: We believe that art should be accessible and inclusive to everyone, so that every community can experience the transforma…","Denver, CO",Arts,
72,xRedCap,"@punishedsuzy Implying that thru the visions he'd been having all game, combined with using Arts (more fine tuned ether control), he became able to control ether to the nth degree.",,Arts,
73,souris,"RT @InnerCityArts: On April 3, we invite you to join The Workshop at MOCA, a free event at The Geffen Contemporary at @MOCAlosangeles where…",Los Angeles,Arts,
74,Potter_Wizard_,"RT @hpotterquotes: That was the best Defense Against the Dark Arts lesson we've ever had, wasn't it? (Ron, Book 3)",Hermione's heart ?,Arts,
76,PGuildCanada,"A comedy about culture, hockey, relationships and sex. @zeezeetheatre presents “Men Express Their Feelings” by PGC Member @sunny_drake at the Firehall Arts Centre from March 18th to April 3rd. Buy tickets here: https://t.co/kIE8tKzRPy https://t.co/oDib9DHupj",Toronto,Arts,
77,arushiyo,"RT @HIDEO_KOJIMA_EN: 1/2
I received the 72nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs, Government of J…",,Arts,
79,hvoyer17,"@kevingoss_sax @fordnation @Sflecce Arts helps in other subjects and vice versa

music and maths
drawing (perspective, geometry, proportion) and maths","Gatineau, Québec",Arts,
80,GenV02,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Land of Departure,Arts,
82,TiredFather0117,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
85,VENICEXIST,"@LAController Give this money to Arts in Education!  LA is an hub for the creative industry yet the school system has ZERO ARTS PROGRAMS.  We need to school kids on the film industry, tech industry, crafts industry etc!    Wake up and school the kids of tomorrow!  #Ron4ArtsINLA",,Arts,
86,UW_StudentLife,RT @uw_diversity: We're so excited for the Black Arts Matter Festival! Make you plans now to check it out at the @WIUnionTheater from March…,"Madison, Wisconsin",Arts,
89,azisgodscanvas,RT @CAfortheArts: 80% of students report worsening mental health during the pandemic. Daily art can reduce stress and anxiety. The arts mus…,,Arts,
95,hornet_club,Arts &amp;Crafts Day - 06/08/2022 - https://t.co/OMBuEZJiXa,"Haslar Road, PO12 2AQ",Arts,
97,Daoxingames,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…","Los Angeles, CA",Arts,
102,Kavunlupide_,"RT @TikiTuka_: ?? #Giveaway??

Ethernal Gates, by @atelier_kristel x  @Arts_DAO

Prize :
?? 3× WL
?? .5 $SOL

To Win
1?? Follow @arts_dao &amp; @Ti…",,Arts,
105,NJArtsDaily,"Review by @trismccall: Vivid colors dazzle, but also represent danger, in Watchung Arts Center (@WACArtsCenter) group show.
https://t.co/l0LZZjuE4C",NJ,Arts,
109,wdavidotaylor,"Our book that we've co-edited with Jeremy Begbie and Dan Train, ""The Art of New Creation: Trajectories in Theology and the Arts,"" is now available for purchase @ivpacademic. Here are 2 words of commendation from @iamfujimura &amp; Cecilia González-Andrieu! 

https://t.co/jVegltog5y https://t.co/fJNwkr1wp2",,Arts,
113,arts_short,@ArtsyGrandpa I googled twitch overlay dimensions. Worked out fine for me.,"England, United Kingdom",Arts,
115,zIIEnVyIIz,"RT @MaiarWizards: Wizards enjoy the all the #Arts, magical, literary and visual included. @InaB_UltraV_Art can be found creating all of the…",United Kingdom,Arts,
122,Unknown00505656,"RT @PulseSportsNG: 2? days to #FOFN2! ??

Come experience the best of Mixed Martial Arts at the #FaceOffFightNight ??
Powered by the Nigerian…",Imagine nation,Arts,
123,NewsRmGlobal,"RT @BBArtMag: Palazzo Diedo, home to Berggruen Arts &amp; Culture. Located in Venice, Italy’s Cannaregio neighborhood, rio della Maddalena

htt…",Florida - USA,Arts,
127,boostingart,"RT @jonjosephart: Solar Winds. Acrylic on canvas.
One of my works on show @Inch_Arts in Altrincham, UK. Preview show this Friday!
#art #art…","Atlanta, GA",Arts,
128,BBArtMag,"Palazzo Diedo, home to Berggruen Arts &amp; Culture. Located in Venice, Italy’s Cannaregio neighborhood, rio della Maddalena

https://t.co/2LlIYhX03b","Florida, USA ISSN 2381-5442 ",Arts,
131,SoraGamergirl,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
135,through_t_noise,"?? Italian pianist Simone Alessandro Tavoni returns to Waterloo’s @1901ArtsClub tonight.

He'll perform music by Mozart, Chopin, and Debussy, as well as some more modern compositions, including one of his own. Tickets include a glass of wine &gt;&gt;

https://t.co/9myPcI8eNF",London,Arts,
142,AguayoKnight,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
144,Zerpergz,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Final Destination,Arts,
145,Boy_In_Yellow,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
153,Ikky_Arts,"RT @Ikky_Arts: ?? Fractal Multiverse Collection

Collection of unique fractal lands from the vast fractalverse 
??https://t.co/pn8gkodOr7

??…",Fractal Multiverse,Arts,
166,artsvark,"RT @UJArts_Culture: The UJ Art Gallery and MTN Foundation is proud to announce the launch of its MTN X UJ New Contemporaries Awards. 

Read…",South Africa,Arts,
177,ShadowTigerRick,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
178,Huntergoldmine,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
180,Luke_172,"Visual Arts Interview: Lisa Kessler's ""Heart in the Wound"" -- Reassessing Sexual Abuse, Power, and the Catholic Church https://t.co/XA9xLflCN6 via @theartsfuse",,Arts,
181,Ksenia41510489,"RT @GemsScope: ??$50 + #NFTGiveaway ??

Introducing @arts_dao ??
Ethernal Gates, by @atelier_kristel x @Arts_DAO

3x WL &amp; $50 in ETH ??

To Ent…",Moon,Arts,
183,MOCAlosangeles,"RT @InnerCityArts: On April 3, we invite you to join The Workshop at MOCA, a free event at The Geffen Contemporary at @MOCAlosangeles where…","Los Angeles, CA",Arts,
189,ElrondZomby,"RT @MaiarWizards: Wizards enjoy the all the #Arts, magical, literary and visual included. @InaB_UltraV_Art can be found creating all of the…",,Arts,
193,AntonioJ31,"Chow Prowlpaw for #PandaDay part 2
Arts by:
@/Enydimon
@/thebluebear27 
@/HikazeDragon https://t.co/Dy88XBIc39","Pasadena, CA",Arts,
194,YoriichiBigwin,"RT @TikiTuka_: ?? #Giveaway??

Ethernal Gates, by @atelier_kristel x  @Arts_DAO

Prize :
?? 3× WL
?? .5 $SOL

To Win
1?? Follow @arts_dao &amp; @Ti…",,Arts,
197,Best_Sellers_UK,"Origami Paper for Children 152 Sheets, Origami Arts and Crafts for Kids Aged 72 #paper #ad #writing #poetry #novel https://t.co/BZcFtIU7NW",,Arts,
198,QRLinked,Arts Against Addictions Association (#Charity #L7).   Call: 01517088431 https://t.co/MUapZEtEnF,"England, United Kingdom",Arts,
199,WisdomRahman,"RT @the_nightnurse_: @elnathanonline Zim Arts, conspiracy theories about the United States presidents. Mugabe's life especially the relativ…","Gwanda, Zimbabwe",Arts,
201,heya_raccoon,"RT @KAri_20kuni: -KARIKUNI-
??/200X?
TH/EN/JP
????-2022-????
*Arts are not allowed without permission* https://t.co/IKlpyesPcG",A very cozy trash can.,Arts,
203,tixLondon,"""Polski Stand-Up w LONDYNIE!"", The Arts Centre, Hounslow on Sat 26 Mar 2022 7.00PM, #comedy tickets: https://t.co/lRk9djrvdm @hounslowarts","London, UK",Arts,
206,Zugzwane02,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…","New Jersey, USA",Arts,
213,trichomeinc,"Elements Music &amp; Arts Festival Shares 2022 Lineup With REZZ, Seth Troxler, Nicole Moudaber, The Knocks &amp; Others https://t.co/SiyXAQ2v1s https://t.co/1jgPNk8r7D","Atlanta, GA",Arts,
214,Mrs_Bowman_30,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…","Omaha, NE",Arts,
217,jules_vp_,@Chy_Visual_Arts @Guerrilla @PlayStationEU @PlayStationNL Woa mindblowing!!,????,Arts,
221,MECHIBECHI,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Frigid’s DMs,Arts,
224,atomic_elbow,@trillyrobinson Martial Arts Mania is pretty good.,"Athens, Georgia",Arts,
225,rabbids007,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",???,Arts,
227,TheInnerStage,"Happy Wednesday and Creative Arts Therapy week! Today, we want you reflect on how you can get in touch with your creative side. Think back to the creative activities you enjoyed as a child. Did you like to draw and paint? Did you like to sing? Did you enjoy dancing or (1/2) https://t.co/pn8gPdg6wk",NYC,Arts,
229,TheGuyBlog,"""One of the most intriguing aspects of Blue Period Season 1 was how Yatora Yaguchi struggled as a novice artist, only to persevere and surpass talented peers and gain acceptance into Tokyo University of the Arts.""
https://t.co/2pDT3sqzZN","Florida, USA",Arts,
236,geistmag,"Big news this afternoon. @ArtsForLawrence Executive Director Judy Byron has announced her retirement. She has served in the role since July 2012 &amp; did a fantastic job over the years promoting the arts in @LawrenceINcity! More below. #SpotlightingLocal 

https://t.co/WlY7DAxiri","Fishers, IN",Arts,
246,GOGOLEEEE,"RT @PulseSportsNG: 2? days to #FOFN2! ??

Come experience the best of Mixed Martial Arts at the #FaceOffFightNight ??
Powered by the Nigerian…",PEACE,Arts,
247,bishopalreese,Now Playing: Victory In Praise Music &amp; Arts Seminar Mass Choir - Bring It To Jesus on https://t.co/oKH0aFXDa5,"Chicago, Illinois",Arts,
256,stutter_twitch,"RT @AltyArtsCltv: First arts move by @dotto_studio and Oskar with a K. @stutter_twitch   

#altrinchamartsfestival #budgeup #canisithere #d…",Altrincham,Arts,
257,pixeltoed,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
258,BKieltArtist,"Opening tomorrow, OGHAM in @Catalyst_Arts. Group show after a 3 week residency. Read about it and the artists here: https://t.co/OXKx43cz39 #Art #VisualArt #Belfast #Exhibition",Derry / Belfast,Arts,
259,Bolinwum,"#Wrblo @davido @_ewawunmi 

Business Idea: The Real Arts Academy (RAAC). 
For authenticity, kindly check on Instagram via this link... 
https://t.co/iR7Y4ebuX0

Our Vision is to promote performing arts by fostering creative and critical thinking, artistic expression, https://t.co/Sy6vs18DQ3","Lagos, Nigeria",Arts,
262,AdautoNelinda,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…","Ligonier, IN",Arts,
263,sensinglorna,"Another brilliant creative moment today, making art with @UCLbasc (Bachelor of Arts and Sciences) students. “Radical Basculinity”. Quite. @RanjitaDhital ?????? https://t.co/ey0CxSmSlM",The imagination (represented),Arts,
267,Alpha_salt,"RT @PulseSportsNG: 2? days to #FOFN2! ??

Come experience the best of Mixed Martial Arts at the #FaceOffFightNight ??
Powered by the Nigerian…",ll let you know. ,Arts,
275,ALANJARDINE,Al Jardine's Endless Summer storytelling show returns to Arizona this Friday--join Al &amp; Matt Jardine at the Higley Center for the Arts in Gilbert ?? https://t.co/hexNfsDmvw #aljardine #mattjardine #beachboys #music #GilbertAZ,Big Sur,Arts,
280,USMAN84kg,"RT @PulseSportsNG: 2? days to #FOFN2! ??

Come experience the best of Mixed Martial Arts at the #FaceOffFightNight ??
Powered by the Nigerian…",,Arts,
282,HumAniEyes,RT @Wandler14: Can i See your Arts???,Metaverse,Arts,
283,YuriTWL,"RT @mnxxionen: (Eng Trans) The Standard - Arts in Not Me the Series PART 1 (March 6, 2022) https://t.co/02GCoA9sWl",Berlin,Arts,
304,SahilkChandio,"RT @HIDEO_KOJIMA_EN: 1/2
I received the 72nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs, Government of J…","Multan, Pakistan",Arts,
312,KAri_20kuni,"-KARIKUNI-
??/200X?
TH/EN/JP
????-2022-????
*Arts are not allowed without permission* https://t.co/IKlpyesPcG",,Arts,
325,earpro1,"RT @WalshJames78: ?? The Arts Is Alive ~ Book your Online class Today:
Call toll free: 1- 877-231-8505 • Be Inspired Every Week • Study and…","Stuart, Florida, USA",Arts,
326,kingston12hifi,"RT @kingston12hifi: @CaribPress, Da Musiclink and Montu Arts present LA WOMEN UNITE IN REGGAEDancehall Nostalgia Third Edition | Sunday, Ma…",Los Angeles,Arts,
327,Anim3D4D,"RT @HIDEO_KOJIMA_EN: 1/2
I received the 72nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs, Government of J…",Home,Arts,
328,aliquisnj,"Wonderful exhibition at the Musée des Beaux-Arts de Nice, a local artist Gustave-Adolphe Mossa. Wonderful art noveau and symbolism art. Loved the style and palette ???? #Art #Museum #Mossa #ILoveNice #Nice #CotedAzur #France https://t.co/Rl1qC2yONw","Helsinki, Finland",Arts,
335,YankelVision,"RT @YankelVision: Another work in my new series, Musée des Faux Arts. 

Faux Art 009
1/1
8 tez
https://t.co/TGgEZUv88T

AI digital painting…",Earth(ish),Arts,
337,JessePrize6,"RT @JessePrize6: A Mind is a Terrible Thing to Waste.
I Choose Arts and Science... Not WAR!

#planetprize #Jesseprize #VIDEOprize #Ukriane…", Fauna/Flora Defender. NO TAG.,Arts,
343,Attamian,"RT @agbu: Violin prodigy Haig Hovsepian is doing his part to help Armenians in need. In March 2021, the AGBU Performing Arts Scholarship re…",,Arts,
345,Darthgreg78,RT @LeslieBienen: Wow the Portland 5 Center for the Arts requiring children 1 and up to mask at Very Hungry Caterpillar. This should be cal…,In queue,Arts,
349,Lillyms1,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…",United States,Arts,
350,TheInspireArena,"???????????????????Arts and Crafts for Ages 4-11 on a Monday Evening at The Inspire Arena.

Physical Wellbeing, Creativity and a place to meet new friends, please take a look at the poster for more information. ??????

Weekly Themes to be announced soon. https://t.co/3a8SGF0NfI","Swaffham, England",Arts,
351,SpiritofCreati2,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
356,CornellAstro,"RT @CornellCAS: Good morning, Arts &amp; Sciences! It's #CornellGivingDay – your support means more and goes further today. So find the area of…","Ithaca, NY",Arts,
362,hbagwell777,Just posted a photo @ Bagwell Academy of Martial Arts https://t.co/KP0PgpijwL,"Milford,ct",Arts,
363,mcrnoid,"RT @GemsScope: ??$50 + #NFTGiveaway ??

Introducing @arts_dao ??
Ethernal Gates, by @atelier_kristel x @Arts_DAO

3x WL &amp; $50 in ETH ??

To Ent…","Pekan Baru, Riau",Arts,
364,PhyllisAlbanese,"""A Russian Ballet Star, Opposed to the Ukraine War, Quits the Bolshoi"" By @PhyllisAlbanese #Arts https://t.co/PQL9xaqNEa",New York,Arts,
365,PhyllisAlbanese,"""A Celtic Revival, in Hip-Hop and More"" By @PhyllisAlbanese #Arts https://t.co/2BqEkckbH5",New York,Arts,
367,PhyllisAlbanese,"""What’s in Our Queue? ‘Life on Earth’ and More"" By @PhyllisAlbanese #Arts https://t.co/JiI9pyO2UG",New York,Arts,
368,PhyllisAlbanese,"""After MoMA Stabbings, Museums Review Their Safety Protocols"" By @PhyllisAlbanese #Arts https://t.co/ypILAXK9dt",New York,Arts,
369,PhyllisAlbanese,"""Histories of Travel Segregation and Chinese Migration Win Bancroft Prize"" By @PhyllisAlbanese #Arts https://t.co/2lMyzhTV8R",New York,Arts,
373,DramaInskeep,Great dancing and muscle memory skills  in Theater Arts ???? today 4th grade! @CHeatonPhD @MsJAyala @HeyMsKooima @RyanJWillie @aspire @AspireLAschools @MrRamirez_AIA @ericajmarquez @AiaIsamartinez @Mrs_MHernandez @RAEspinoza1326 @mrleo_daRebel @v_zometa https://t.co/VN134r3XES,,Arts,
378,pororay,RT @seimeizu: from my understanding op spotted Jaemin at Twosome (it’s a coffee &amp; dessert shop) near Seoul Arts Center… it’s probably the s…,,Arts,
385,zobjobsUS,"Online Music Sales - Work from Home
at Music And Arts
Work From Home Options Available Must live in Indiana or Utah Do you love music and have a passion for sa...
#Sales #remotejobs #musicartsfan
https://t.co/pq0lYr7kqt",United States US,Arts,
386,amiralifmusicc,"RT @Mixboy2105: [VIDEO] #WeeklyUpdateWednesdays Ep.99 : Taxing the Arts &amp; Entertainment

Why won't the S'gor state govt give the arts scene…",Malaysia,Arts,
389,AlexaAketzaliHd,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
391,Greezyboi1,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
395,matchafoam,RT @CBCArts: Scarborough: The Backbone celebrates the dynamic suburb as 'this place that makes Toronto what it is' https://t.co/ioDLFmO4Iz…,,Arts,
397,NFTteamAlpha,"RT @cryptoart555: i will give this Mutating Ape art from Monkey NFT Arts collection ( @cryptoart555 )

To somebody who:
1? RT and LIKE
2? F…",,Arts,
400,IkennaMaduako,"RT @ChifeDr: #NowPlaying 
Sergei Rachmaninov, Trio élégiaque No. 1 in G minor
(Performed by the Beaux Arts Trio).

“.. filled with the haun…",Everywhere ,Arts,
407,UZABUMWANA8,RT @samuelmunana1: Had a fruitful discussion with the @Uni_Rwanda College of Arts and Social sciences for establishing Rwandan Sign Languag…,,Arts,
412,_E_Cube,"? https://t.co/GEJB1P5yX4

It's #summertime ! ?????
Here's my little niece's #WatermelonPaperFanArt???? ????????
#ArtDay ??????? #ArtsDay #HowTo #DIY #WatermelonPaperFan #Watermelon #PaperFan #Arts #March #Summer #YouTubeShorts #Shorts",Earth,Arts,
416,SilentGentlemen,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
417,PurdueNorthwest,"These students are giving us a big reason to be #PNWProud!

These five PNW students will be honored with first-place awards for their scriptwriting at the Broadcast Education Association’s Festival of Media Arts convention in Las Vegas: https://t.co/kPKBm0AYSo https://t.co/3sVBAYZEWE",Northwest Indiana,Arts,
419,UZABUMWANA8,"RT @samuelmunana1: Great progress made today at the @Uni_Rwanda, College of Arts and Social Sciences in establishing the Rwandan Sign Langu…",,Arts,
427,Lindawis,"Helen Keller was the first blind and deaf person to achieve a Bachelor of Arts in the United States.

Civil rights activist Pauli Murray lived fearlessly, at a time when gender non-conforming and queer people like them were forced to hide essential aspects of their identity.","Doylestown, PA, USA",Arts,
429,gUeLiToXtArZ,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",Dallas Texas,Arts,
438,DeanoAFC76,RT @aviatormusicuk: This Saturday the brilliant @MRobertMurphy headlines @ArtsClubHQ for @ClubEVOL remaining tickets here… https://t.co/V8N…,Broadstairs,Arts,
444,iandrealvarez,"RT @HtetMyoMyoMaw1: (4) Education??
??:Graduation Bachelor degree Faculty of Communication Arts Marketing Communication Branch Rangsit Univer…",Mexico City ???? ,Arts,
447,HBGanttCenter,"RT @ASCCharlotte: Want to work in the cultural sector? We've posted new jobs from @BlumenthalArts, @HBGanttCenter and Sarah Belk Gambrell C…","Charlotte, NC",Arts,
459,UMIHGraphicNarr,Shoutout to @jocabako for the poster for our Filipino Canadian comics symposium this Friday! Can’t wait for her forthcoming graphic novel from @ClarionBooks https://t.co/WImg675bOZ https://t.co/B7Eh3YHjFR @UMArtsFaculty https://t.co/eK1oArvmlj,,Arts,
460,CartoonEj,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
462,ThomasH92930020,"@drbenjaminwilll ... And performing Arts near what is, for us, the beginning of August.","Bowlegs, Oklahoma",Arts,
463,hyrdoxcity,"RT @WoodenPlank: Mr. Arts &amp; Crafts

#smashbros #smash #smashultimate #smashbrosultimate #nintendo #nintendoswitch #kingdomhearts #pokemon h…",,Arts,
466,slimjimnorm,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…",Chicago 60666,Arts,
467,Hyaguy,Job Opportunity for you if you have an interest in serving in the Creative Arts Industry... https://t.co/vxWaB9p1U5,Trinidad and Tobago,Arts,
469,Ranjan__datta,"Happening today at 6:00PM (MST). Join here https://t.co/zuyvvUWjnX 
@MRU_Arts presents the 2022 Distinguished Speaker, Dr. Alex Wilson. https://t.co/KP7mdDMuDr","Calgary, AB, Canada",Arts,
479,pastelmissy,"RT @HIDEO_KOJIMA_EN: 1/2
I received the 72nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs, Government of J…","Kansas City, MO",Arts,
480,myusername2017,"RT @Oilfield_Rando: Another $180 million for the National Endowment for the Arts. 

Another $180 million for the National Endowment for the…",,Arts,
484,brushrun,"RT @HIDEO_KOJIMA_EN: 1/2
I received the 72nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs, Government of J…","Recife, Brazil",Arts,
485,RunnerGuitar,@Alleycat_Arts Ooooh I like where this is going!!,,Arts,
490,artywisdom,RT @LAHArtsHealth: We are so happy to launch our podcast episode with @valuingculture @TrappedZoneOne @artshealthhub @AnnaBosworth where we…,"Brighton, UK",Arts,
494,Americans4Arts,"RT @JanetKope: Wed ""Health Benefits of the Arts"" study link showing how dance helps young people suffering from cerebral palsy. @ADTAorg @N…",Washington DC,Arts,
499,CLAScomm,"April 5, spend some time with MacArthur Fellow Hanif Abdurraqib. https://t.co/DmKL19oLvP   GV Arts Celebration",Allendale,Arts,
160,ReArtistron,"RT @ARTEBOOKING: Browse #art #contemporaryart #Painting from #artist Olivier Valentin 
https://t.co/6jQ99ErkiX",Artistron,Painting,
87,boostingart,"RT @GaneshPanda05: My Palette Knife Painting
Acrylic on canvas 12/12 inches https://t.co/oTCFW2jJA9","Atlanta, GA",Painting,
131,boostingart,"RT @MaryCacciapagl2: Painting with fiber
#fiberarts, #weaving, #ArtistOnTwitter https://t.co/kE545KOUYr","Atlanta, GA",Painting,
168,boostingart,"RT @GaneshPanda05: My Palette Knife Painting
Oil on Canvas 26/36 inches https://t.co/wajLBJ6GIe","Atlanta, GA",Painting,
174,boostingart,RT @SilkDharmaArt: Painting: Daniel Garber (1861-1946) https://t.co/lFzgLp9t0u,"Atlanta, GA",Painting,
19,BBArtMag,"RT @Pooks82Official: *FOR SALE* 
$700
""Smaug"" 
Acrylic Painting on Canvas by Pooks 
12x15""
DM if interested
#art https://t.co/Wp20ULKzWB","Florida, USA ISSN 2381-5442 ",Painting,
86,BBArtMag,"RT @CanadaPaintings: Adanna
Billy Bing
2020 https://t.co/F4I3OcXTZt","Florida, USA ISSN 2381-5442 ",Painting,
14,Best_Sellers_UK,100pcs A4 210x297mm Drawing Calligraphy A4 Painting Tissue Writing Paper- #paper #ad #writing #poetry #novel https://t.co/0FB98LGRPN,,Painting,
40,Best_Sellers_UK,1 Roll White Chinese Art Paper Writing Painting Xuan Paper for Practicing #paper #ad #writing #poetry #novel https://t.co/PTIGPFZfAB,,Painting,
90,Best_Sellers_UK,2 Rolls  Calligraphy Paper Painting DIY Writing Blank Xuan Paper #paper #ad #writing #poetry #novel https://t.co/O6cH29x6Oi,,Painting,
29,BKieltArtist,Loose beginnings on board... #Art #visualart #ArtsNI #Painting #WorkInProgress #WIP #PaintingInProgress https://t.co/uGVHGBfizV,Derry / Belfast,Painting,
