,Name,Tweets,Location,Subcategory
72,BronwenRp,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
73,nuceassc,"Thirtyfive days are left for the Filipino people to utilize their right to vote and the College of Education Arts and Sciences will conduct a webinar aligned with this topic A webinar on Wednesday April   from  am pm via Facebook live 

",National University  Manila,Arts
81,T2Conline,MoCCA Arts Festival  Returns  Now In The Metropolitan Pavilion  httpstcomwdYtKHjdf,,Arts
89,MrPope,spaccowgrl nickcave Place des Arts in Montreal really great sound,Montral,Arts
98,utpalgogoi95,"RT Wizardara    minutes

 Retweet amp Follow Wizardara 
 RT their pin amp vote in my NFT Arts Battle

",,Arts
107,UMASRINI5,RT snsinstitutions SNS Family wishes a Hearty Congratulation to our beloved Principals of Dr SNS Rajalakshmi College of Arts and Science,,Arts
111,zixin8889,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
115,dipanitanath,RT lifestyleie SundayEye  The methodology of the late founder of the Aurovillebased Adishakti Theatre Arts who fused Sri Aurobindos,New Delhi,Arts
119,Lumks12,BNjaloartist Arts  I wish I understood earlier in my life,Jozi,Arts
132,KaraTStarbuck,RT alistaircoleman Meanwhile in North Korea its the Spring Arts Festival and GOD NO ACCORDIONS httpstcohgYuUh,Treaty  Edmonton Alberta,Arts
140,pclslrlnbhxqg,"RT cnni Will Smith has resigned from the Academy of Motion Pictures Arts amp Sciences after slapping Chris Rock on stage last weekend

Cha",,Arts
145,MuliaCeriaaaa,"My prediction best actor Baeksang Arts Awards  

 Kim Seon Ho 
 Ju Ji Hoon
 Cha Tae Hyun 
 Ji Sung
 Nam Joo Hyuk if eligible", ,Arts
146,themcarrasco,Just posted a photo  Tuacahn Center for the Arts httpstcoNFimnnXyF,New York USA,Arts
148,brighterdaysc,I entered to win tickets to opening night of the world premiere of White Noise written by Taran Kootenhayoo presented by FirehallArtsCte SavageSociety via Miss httpstcoReDPaAv,Metro Vancouver BC,Arts
184,baraenoliver,RT newsmax Will Smith has resigned from the Academy of Motion Picture Arts and Sciences httpstcoMDGHOOH,,Arts
192,CryptoPAL07,"RT Wizardara    minutes

 Retweet amp Follow Wizardara 
 RT their pin amp vote in my NFT Arts Battle

",Assam India,Arts
198,pclslrlnbhxqg,"RT CNN Will Smith has resigned from the Academy of Motion Pictures Arts amp Sciences after slapping Chris Rock on stage last weekend

Chan",,Arts
214,Cerium94840038,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
215,RobstarOnce2,"Yall defended so much TWICE MOMO as an artist that shes trending in Arts amp Culture

Yes shes one of the most talented KPop artists of her generation
JYPETWICE httpstcozkyiAx",Twiceland,Arts
217,Gwendolyn679,RT tangazo Acyn rd grade Language Arts contains more finesse poise and elegance than this cheap sophistry httpstcogDAHGTIk,Chehalis WA,Arts
218,levrux,RT carvethemoon As a part of tabling at Boneyard Arts Festival Im putting a sale in my online shop Use the code BONEYARD to get ,De Borel Mansion  Dawn Winery,Arts
223,valleyfreeradio,"Sunday morning on WXOJLP fm
Streaming httpstcoILqADRRUH
 am Arts Electronica
 am Subculture Replay
 am Darkwave Replay", Pine St Florence MA ,Arts
230,1ShelleyKBooker,"ZubyMusic Id create an 
Arts  amp Science 
Centre in my local town
Open to Everyone

Volunteering  hours per week 
anywhere in the Community would give you Free Access 

payitforward arts",San Francisco CA,Arts
233,StevensDance16,RT FineArtsStevens Congrats to our Fine Arts department on winning a NEF Team Grant This grant will allow us to set up a camera system i,,Arts
234,imeonaliva0728,RT gmanews JUST IN Actor Will Smith resigns from the Academy of Motion Picture Arts and Sciences which organizes the Oscars after he s,,Arts
245,Empreslouie16th,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
247,bloodlink0424,"RT uglyvengeful Oppressive Liberation SPIRIT Vol   by Sakevi Yokoyama
Published by Beast Arts

Japanese Avant Garde Books ht",Nishitokyo City Japan,Arts
249,creativeWeileAi,"RT SkullQueenClub Womans Face Of Arts 
opensea 

 Art Collection 
ETH Polygon  Floor

nft NFTartist NFTCommunity WomenIn",Hungry Sharks NFT Club,Arts
251,kfury,"hondanhon Imagine being a member of a professional organization that uses your dues to pay actors to make fun of your wife in front of  of your coworkers and  people worldwide

How is the Academy of Motion Picture Arts and Sciences not a serial abuser",San Francisco Bay Area,Arts
263,Hemantkanyal101,"RT Simrann     amp    
 April Monday
 PM
Arts FacultyDU

 amp  ",,Arts
273,books_pandora,"RT Battagliart My painting of  Rose Cottage  from a painting holiday in NYorkshire
 Day  of Arts Challenge  nominated by claire",Texas USA,Arts
274,JonahRapert,"Just saw Hamilton at the Walton Arts Center 

It was so far and away beyond my expectations I dont think Ive ever been that invested and impressed in a performance in my life",Arkansas USA,Arts
276,KaitoPainto,TaronaiiArts I hope tooo,,Arts
277,KarateArcadia,Martial Arts Learning The Difference Between The Two SHUGYOU  amp  httpstcootYIDVQe shugyou shugyou,Japan Tokyo,Arts
284,grantra,MysterySolvent Bachelor of Arts in Thumbs Up at youknowwhat defunct university,Southern Maine,Arts
286,pclslrlnbhxqg,RT cnnbrk Academy of Motion Pictures Arts and Sciences leadership strongly considered removing Will Smith from the Oscars telecast Sund,,Arts
289,avatar_kworld,RT sandik  Baeksang Arts Awards   KimSooHyun   crd to rightful owner httpstcoeOLkVyjiU,,Arts
290,Ikenna_09,"Iykey Arts  made with NightCafeStudio 

httpstcoCmYiZfrff

aiart nightcafe digitalart httpstcoCmYiZfrff httpstcoLuoXoKQJg",Anywhere VPN chooses,Arts
292,pclslrlnbhxqg,RT cnnbrk The Academy of Motion Pictures Arts and Sciences says it condemns Will Smiths actions at the Oscars and has opened a formal r,,Arts
293,mijudraws,PinkPlowadin ShotgunShogun BruLeeArts it was because of the speed bonus that soul weavers got in this season but they also did put out a patch to nerf it IMMEDIATELY lmao,for r oshadraws,Arts
301,Jim_Zakany,RT tangazo Acyn rd grade Language Arts contains more finesse poise and elegance than this cheap sophistry httpstcogDAHGTIk,Cleveland Ohio,Arts
303,hellabrunette,RT Faungirl Hey there kids Welcome to Arts and Crafts hour with your friend Ed Gein,Under The Canyon Moon ,Arts
309,oreillute,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
311,yvonnec4788,RT yvonnec Ms Maoui is a MS Theater Arts teacher in SA TX She has a DonorsChoose project for props and costumes for the Spring P,San Antonio TX,Arts
315,RaposoG1,BreadyArts good night bunny,Fortaleza ,Arts
324,LochNessa220,RyanPahl fakelobsterfest CoyoteArts JermaineJay because of all of the injustices done to trans people mostly trans women Besides its just newsdiscussion why are you so mad about it Theres no reason to be angry about people talking about something,,Arts
326,TNTinkerEditing,RT BalanceofSeven Together at last Author GeorginaKey and Publisher Ynes Freeman at the Bolivar Peninsula Arts Market A great turnout,Plano TX,Arts
329,KeptYouWaiting0,"RT RennoLeon Devil May Cry  Graphic Arts  Dante Vergil amp Trish 
Concept Art httpstcofLdhoqed",THE HUDSON RIVER,Arts
331,JodieVarnai,RT archaeologyart Apulian mouse vessel c  BC Culture Greek Medium Terracotta Collection Museum of Fine Arts Houston http,,Arts
333,s_miernicki,JBMatthews davedavieskinks TheKinks My favorite Kinks show of the  I saw was the Mar   Providence RI beautiful dont make them like that anymore in the USA Performing Arts Center  So here is a representative show from     httpstcozbBavex I like when The Kinks feature Daves amazing rock guitar,Greer SC USA,Arts
344,yourbestiereads,mrsshadowsinger Arts mom used to tell us not to give each other besos exticos when we were dating I never got over it,Velaris,Arts
347,RandyEBarnett,The last Mickey Mouse Copyright Extension Act should have been held unconstitutional for violating the original meaning of the for limited times provision of the Progress of Science and useful Arts Clause But judicial restraint prevailed Bring back the public domain httpstcoAkMcbWYXFB,Washington DC USA,Arts
368,ahmedtoor92,CavelFisher A Bachelor of Arts is one who,,Arts
370,toseefpunjabi,MaryKai A Bachelor of Arts is one who,,Arts
371,rifililo,DentonKenya A Bachelor of Arts is one who,,Arts
379,thatsjazz2,"KarenMMiddleton SatPaper And theres a brilliant Arts section  music usually current music and really varied theatre movie reviews architecture urban planning poetry book reviews 

Alison Croggan is the best arts editor around",Hunter Valley NSW Australia,Arts
380,BotActivity1,Dear Gryffindors report to the your House Common Room for personalized Dark Arts training,,Arts
391,AmalVinod100,RT DBLegends The new Obscure effect is hereand its part of Whis DBLSs powerful Special Arts On hit the enemys cards will,Kerala India,Arts
397,AWmotivate,Rhino Youre always an excellent sportsman and friend Im glad to have you on my teams in wrestlingCombat Sports Martial Arts sports commentary and in the medical profession,WinstonSalem North Carolina ,Arts
404,MidoriWurm,Feel free to ask questions on the characters posts and ofc the respective arts come from UlquiorraMisaki twistedlimbo HanaArts nanonebula  i really apologize if this notifies anyone,Stocking your fridge ,Arts
407,Maw_of_Abyss,"JonathanPTArts Idk man thus far her bouncing didnt succeed at smashing him out of existence

Thus far being the key words",,Arts
414,Mattysquerades,"RT Uzumakijiraya shenmue no one every responses  a dabbled with martial
 Arts back on the day", Fake Street,Arts
419,Ochan30,"RT Uzumakijiraya shenmue no one every responses  a dabbled with martial
 Arts back on the day",Nowhere and Everywhere,Arts
422,JoeHarrellNYC,RT AllArtsTV Tomorrow at  pm EST join ALL ARTS in a classicalmusic celebration with a marathon of shows films and performances all,New York NY,Arts
428,indian_link,"Art is more than pleasing images Its personal and yes sometimes it can offend people 

Gurvinder Kaur aka ArtsyBrownGirl chats with rnath about her artivism art plus activism

artist SouthAsian representation Instagram 

httpstcouUjDFNHZU",Australia,Arts
431,kween__bea,"RT ArtsHub Four comedians talk to ArtsHub about the challenges and triumphs of building a career in this competitive industry

iamcamer",Sydney,Arts
433,Uzumakijiraya1,"shenmue no one every responses  a dabbled with martial
 Arts back on the day",Illionos tinley park,Arts
439,Broadsoc,"The National Commission of Culture and Arts NCCA celebrates their th Anniversary today April   

Article by Akiann Agnes Miyakawa
Layout by Karla Maningas

To know more refer to the FB link below httpstcoHaXvqX httpstcoWsNCLPZtp",FEU High School,Arts
443,_ShotgunShogun,PinkPlowadin mijudraws BruLeeArts It was a  spd unit in rta w a  team wide cr push  atk buff to highest atk unit it was nuts,,Arts
445,aygunyusuf,PerfectKM bit if you sayok genocide of Caucasus people in Tsar time not enoughUSSR was differenthere genocide of Ukrainians Holodomor  Holocaust and Genocide Studies  College of Liberal Arts httpstcoQyGWkIg,stanbul,Arts
449,Mia_ella09,"RT DesArtsNFT Welcome to Des ARTS 

Any interaction with this tweet will be considered for an early WL spot 

Tag your NFT friends",,Arts
461,ellesmithfagan,charliekay HarringtonKevin Thank you so much   There used to be a Legion of Decency in Arts to keep everyone publicly charming but for decades now all we get if a lot of obscenity and profanity and charged for it  Scary,Connecticut USA,Arts
468,RingsideReport,Dave Simon and his cohosts are live now on YouTube Facebook and Twitch with great Ringside Report Network coverage of Pro Wrestling and Mixed Martial Arts  Join them in chat httpstcoHakPERCCo,Worldwide  ,Arts
471,VeraAdxer_Art,"sanditon a wonderful world of other possibilities
Arts available in my store link in my bio
sanditonsisterhood
sanditonpbs francislennox tomwestonjones BenLloydHughes rosevictoriawilliams charlotteheywood 
httpstcomdcMiDaa",Outlander world,Arts
480,EagleSyrian1,"Assad Will Smith resigned from Academy of Cinematic Arts amp Sciences after slapping presenter on air

I killed half a million
Displaced  million
Starvation
Terrorism
Destruction
 foreign army in Syria

I never think of resigning now I am thinking chicken or lamb for lunch httpstcomHawuoJs",,Arts
486,DTyler0,"RT TheLewan Bob is a scam artists 
Rage Arts do not work against this hunk of flesh httpstcociVCEfzOL",Support me on KoFi pls,Arts
488,eerian_sadow,SNOWiiArts I would love some MirageWheeljack or MirageFirst Aid in your style,Kansas USA,Arts
492,RacerX29erCO,RT briantylercohen BREAKING Will Smith resigns from the Academy of Motion Picture Arts and Sciences and issues an apology to Chris Rock,Denver CO,Arts
493,mieniaisacat,"Like It from Arts amp Photography in Amazon

SalesRank No

Amazing Patterns Adult Coloring Book 

httpstcoWhKlcWz",,Arts
494,Markpao23,NFTsArts For your info httpstcoQvRsClH,Toronto Ontario,Arts
495,IndianExpress,RT lifestyleie SundayEye  The methodology of the late founder of the Aurovillebased Adishakti Theatre Arts who fused Sri Aurobindos,India,Arts
498,MoternMedia,RT MoternMedia Matt Farley has made  Creative Arts programs obsolete with this  book httpstcofGBHvcry,PO BOX  Danvers MA ,Arts
19,T2Conline,MCC Theater Wins The War with Space Dogs the Musical httpstcoCAezMQkCf,,Music
25,T2Conline,Karen Mason Makes Birdland Go Round and Round in Kander and Ebb Musical Heaven httpstconHTjMra,,Music
27,T2Conline,Meet Joey Contreras a Musical Writer on The Rise httpstcocpseobPy,,Music
112,T2Conline,Online Nation Wide Open Casting Call For Emojiland The Musical httpstcoxQMEfeCTT,,Music
140,T2Conline,Heading to Broadway Harold and the Purple Crayon With Music By AJR httpstcosujIzEn,,Music
145,T2Conline,An Evening with Barry Manilow and Bruce Sussman and Their New Musical Harmony httpstcoyHhxoR,,Music
162,T2Conline,The th RendezVous with French Cinema Addresses Everything from War to Climate Change to Music httpstcoypUPxDt,,Music
163,T2Conline,My View Sam Gravitte Makes Solo Musical Debut At Birdland httpstcoFflgwBXiI,,Music
176,T2Conline,th Academy Of Country Music Awards Names Winners httpstcomITpmcNOUK,,Music
180,T2Conline,March Music at Irish Arts Center httpstcooxtJUKlY,,Music
192,T2Conline,May We All A New Country Musical Starts at Tennessee Performing Arts Center in Nashville TN httpstcoTSmjywNv,,Music
185,themcarrasco,RT Vegalteno blacklifematters hamprogress HamiltonMusical LinManuel Hope you enjoyed httpstcoTOLuUrUbcx,New York USA,Music
11,valleyfreeradio,"Friday afternoon OnAir on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm Buried Electric
 pm Indigenous with Music", Pine St Florence MA ,Music
39,valleyfreeradio,"Currently OnAir Reggae Down
A Reggae Music show with Rasta Paul introducing Reggae Music from all over the world from Jamaica to Iceland", Pine St Florence MA ,Music
47,valleyfreeradio,"Sunday evening on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm The Word
 pm Straight to the Music
 pm Alternative Lately", Pine St Florence MA ,Music
64,valleyfreeradio,"Friday afternoon OnAir on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm Buried Electric
 pm Indigenous with Music", Pine St Florence MA ,Music
97,valleyfreeradio,"Sunday evening on WXOJLP fm
Streaming httpstcoILqADRRUH
 pm The Word
 pm Straight to the Music
 pm Alternative Lately", Pine St Florence MA ,Music
114,valleyfreeradio,"Friday afternoon OnAir on WXOJLP fm
Streaming httpstcoILqADRRUH
 pm Buried Electric
 pm Indigenous with Music", Pine St Florence MA ,Music
131,valleyfreeradio,"Sunday evening on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm The Word
 pm Straight to the Music
 pm Alternative Lately", Pine St Florence MA ,Music
145,valleyfreeradio,"Friday afternoon OnAir on WXOJLP fm
Streaming httpstcoILqADRRUH
 pm Buried Electric
 pm Indigenous with Music", Pine St Florence MA ,Music
149,valleyfreeradio,"Thursday evening OnAir on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm New Music Alliance
 pm Dark Wave", Pine St Florence MA ,Music
174,valleyfreeradio,"Sunday evening on WXOJLP fm
Streaming httpstcoILqADRmtjh
 pm The Word
 pm Straight to the Music
 pm Alternative Lately", Pine St Florence MA ,Music
190,valleyfreeradio,"Friday afternoon OnAir on WXOJLP fm
Streaming httpstcoILqADRRUH
 pm Buried Electric
 pm Indigenous with Music", Pine St Florence MA ,Music
192,valleyfreeradio,"Friday morning OnAir on WXOJLP fm
Streaming httpstcoILqADRmtjh
 am Alternative Radio
 am Music of the People", Pine St Florence MA ,Music
194,valleyfreeradio,"Thursday evening OnAir on WXOJLP fm
Streaming httpstcoILqADRRUH
 pm New Music Alliance
 pm Dark Wave", Pine St Florence MA ,Music
37,MidoriWurm,GeargasmMusic Brooo wtf if they think  min is a hike thats sad as hell,Stocking your fridge ,Music
47,MidoriWurm,UlquiorraMisaki GeargasmMusic Woah gear has been greg this entire time Epic,Stocking your fridge ,Music
